annee;diplome;etablissement;academie;domaine;discipline;taux_de_reponse;taux_dinsertion;taux_d_emploi;salaire_brut_annuel_estime;situation;nombre_de_reponses;poids_de_la_discipline;idDiscipline;idDiplome;idLieu;IdTemps;SituationMois;NombreReponsesCAST(INT);TauxInsertionCAST(INT);SalaireBrutAnnuelEstimeCAST(INT);TauxReponsesCAST(INT);ErrorCode;ErrorColumn
2012;MASTER LMD;Clermont-Ferrand 2 - Blaise Pascal;Clermont-Ferrand;Sciences, technologies et santé;Sciences de l'ingénieur;68;95;;32600;18 mois après le diplôme;42;14;19;2;49;4;18;42;95;32600;68;-1071607685;0
2012;MASTER LMD;Clermont-Ferrand 2 - Blaise Pascal;Clermont-Ferrand;Sciences, technologies et santé;Informatique;69;;;;18 mois après le diplôme;10;3;12;2;49;4;18;10;;;69;-1071607685;0
2012;MASTER LMD;Pau - Pays de l'Adour;Bordeaux;Lettres, langues, arts;Lettres, langues, arts;89;;;;30 mois après le diplôme;15;5;13;2;102;4;30;15;;;89;-1071607685;0
2012;MASTER LMD;Pau - Pays de l'Adour;Bordeaux;Sciences humaines et sociales;Histoire-géographie;82;;;;18 mois après le diplôme;6;2;10;2;102;4;18;6;;;82;-1071607685;0
2012;MASTER LMD;Pau - Pays de l'Adour;Bordeaux;Sciences, technologies et santé;Ensemble sciences, technologies et santé;92;87;;28800;30 mois après le diplôme;101;36;8;2;102;4;30;101;87;28800;92;-1071607685;0
2012;MASTER LMD;Pau - Pays de l'Adour;Bordeaux;Sciences, technologies et santé;Ensemble sciences, technologies et santé;92;76;;25300;18 mois après le diplôme;101;36;8;2;102;4;18;101;76;25300;92;-1071607685;0
2012;MASTER LMD;Pau - Pays de l'Adour;Bordeaux;Sciences, technologies et santé;Sciences de la vie et de la terre;97;60;;;18 mois après le diplôme;26;9;18;2;102;4;18;26;60;;97;-1071607685;0
2012;MASTER LMD;Pau - Pays de l'Adour;Bordeaux;Sciences, technologies et santé;Autres sciences, technologies et santé;93;;;;30 mois après le diplôme;9;3;3;2;102;4;30;9;;;93;-1071607685;0
2012;MASTER LMD;Pau - Pays de l'Adour;Bordeaux;Sciences, technologies et santé;Autres sciences, technologies et santé;93;;;;18 mois après le diplôme;9;3;3;2;102;4;18;9;;;93;-1071607685;0
2012;MASTER ENS;Perpignan - Via Domitia;Montpellier;Masters enseignement;Masters enseignement;48;;;;30 mois après le diplôme;7;100;14;1;103;4;30;7;;;48;-1071607685;0
2012;MASTER LMD;Perpignan - Via Domitia;Montpellier;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;51;94;;26700;30 mois après le diplôme;77;60;6;2;103;4;30;77;94;26700;51;-1071607685;0
2012;MASTER LMD;Perpignan - Via Domitia;Montpellier;Droit, économie et gestion;Droit;49;78;;;18 mois après le diplôme;39;30;4;2;103;4;18;39;78;;49;-1071607685;0
2012;MASTER LMD;Perpignan - Via Domitia;Montpellier;Lettres, langues, arts;Lettres, langues, arts;50;;;;18 mois après le diplôme;12;9;13;2;103;4;18;12;;;50;-1071607685;0
2012;MASTER LMD;Perpignan - Via Domitia;Montpellier;Sciences humaines et sociales;Autres sciences humaines et sociales;47;;;;30 mois après le diplôme;10;8;2;2;103;4;30;10;;;47;-1071607685;0
2012;MASTER LMD;Perpignan - Via Domitia;Montpellier;Sciences, technologies et santé;Sciences de l'ingénieur;100;;;;18 mois après le diplôme;1;1;19;2;103;4;18;1;;;100;-1071607685;0
2012;MASTER LMD;Perpignan - Via Domitia;Montpellier;Sciences, technologies et santé;Autres sciences, technologies et santé;67;;;;30 mois après le diplôme;11;7;3;2;103;4;30;11;;;67;-1071607685;0
2012;MASTER LMD;Strasbourg;Strasbourg;Droit, économie et gestion;Droit;78;94;;30400;30 mois après le diplôme;86;11;4;2;114;4;30;86;94;30400;78;-1071607685;0
2012;MASTER LMD;Strasbourg;Strasbourg;Droit, économie et gestion;Droit;78;94;;27000;18 mois après le diplôme;86;11;4;2;114;4;18;86;94;27000;78;-1071607685;0
2012;MASTER LMD;Strasbourg;Strasbourg;Droit, économie et gestion;Économie;100;;;;30 mois après le diplôme;5;1;5;2;114;4;30;5;;;100;-1071607685;0
2012;MASTER LMD;Strasbourg;Strasbourg;Sciences humaines et sociales;Ensemble sciences humaines et sociales;79;90;;22900;18 mois après le diplôme;139;17;7;2;114;4;18;139;90;22900;79;-1071607685;0
2012;MASTER LMD;Strasbourg;Strasbourg;Sciences, technologies et santé;Sciences de la vie et de la terre;84;84;;27600;30 mois après le diplôme;70;8;18;2;114;4;30;70;84;27600;84;-1071607685;0
2012;MASTER LMD;Strasbourg;Strasbourg;Sciences, technologies et santé;Sciences fondamentales;90;81;;28900;18 mois après le diplôme;53;6;20;2;114;4;18;53;81;28900;90;-1071607685;0
2012;MASTER LMD;Strasbourg;Strasbourg;Sciences, technologies et santé;Informatique;81;97;;;30 mois après le diplôme;38;4;12;2;114;4;30;38;97;;81;-1071607685;0
2012;MASTER LMD;Mulhouse - Haute Alsace;Strasbourg;Droit, économie et gestion;Droit;90;;;;30 mois après le diplôme;29;13;4;2;82;4;30;29;;;90;-1071607685;0
2012;MASTER LMD;Mulhouse - Haute Alsace;Strasbourg;Lettres, langues, arts;Lettres, langues, arts;82;;;;18 mois après le diplôme;26;11;13;2;82;4;18;26;;;82;-1071607685;0
2012;MASTER LMD;Mulhouse - Haute Alsace;Strasbourg;Sciences humaines et sociales;Ensemble sciences humaines et sociales;84;94;;;30 mois après le diplôme;31;12;7;2;82;4;30;31;94;;84;-1071607685;0
2012;MASTER LMD;Mulhouse - Haute Alsace;Strasbourg;Sciences humaines et sociales;Histoire-géographie;0;;;;30 mois après le diplôme;0;;10;2;82;4;30;0;;;0;-1071607685;0
2012;MASTER LMD;Mulhouse - Haute Alsace;Strasbourg;Sciences humaines et sociales;Autres sciences humaines et sociales;78;;;;30 mois après le diplôme;14;6;2;2;82;4;30;14;;;78;-1071607685;0
2012;MASTER ENS;Lyon 1 - Claude Bernard;Lyon;Masters enseignement;Masters enseignement;77;99;;26400;18 mois après le diplôme;149;100;14;1;75;4;18;149;99;26400;77;-1071607685;0
2012;MASTER LMD;Lyon 1 - Claude Bernard;Lyon;Sciences, technologies et santé;Sciences de l'ingénieur;84;90;;29900;18 mois après le diplôme;82;19;19;2;75;4;18;82;90;29900;84;-1071607685;0
2012;MASTER LMD;Lyon 2 - Lumière;Lyon;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;73;88;;29300;30 mois après le diplôme;207;32;6;2;76;4;30;207;88;29300;73;-1071607685;0
2012;MASTER LMD;Lyon 2 - Lumière;Lyon;Sciences humaines et sociales;Histoire-géographie;70;78;;23000;18 mois après le diplôme;61;9;10;2;76;4;18;61;78;23000;70;-1071607685;0
2012;MASTER LMD;Lyon 3 - Jean Moulin;Lyon;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;71;72;;;18 mois après le diplôme;44;6;1;2;77;4;18;44;72;;71;-1071607685;0
2012;MASTER LMD;Lyon 3 - Jean Moulin;Lyon;Lettres, langues, arts;Lettres, langues, arts;73;84;;26500;30 mois après le diplôme;83;11;13;2;77;4;30;83;84;26500;73;-1071607685;0
2012;MASTER LMD;Lyon 3 - Jean Moulin;Lyon;Lettres, langues, arts;Lettres, langues, arts;73;86;;25200;18 mois après le diplôme;83;11;13;2;77;4;18;83;86;25200;73;-1071607685;0
2012;MASTER LMD;Lyon 3 - Jean Moulin;Lyon;Sciences humaines et sociales;Histoire-géographie;94;;;;30 mois après le diplôme;28;3;10;2;77;4;30;28;;;94;-1071607685;0
2012;MASTER LMD;Lyon 3 - Jean Moulin;Lyon;Sciences humaines et sociales;Histoire-géographie;94;;;;18 mois après le diplôme;28;3;10;2;77;4;18;28;;;94;-1071607685;0
2012;MASTER LMD;Lyon 3 - Jean Moulin;Lyon;Sciences humaines et sociales;Information communication;80;83;;;30 mois après le diplôme;46;6;11;2;77;4;30;46;83;;80;-1071607685;0
2012;MASTER LMD;Lyon 3 - Jean Moulin;Lyon;Sciences humaines et sociales;Autres sciences humaines et sociales;81;78;;;30 mois après le diplôme;46;6;2;2;77;4;30;46;78;;81;-1071607685;0
2012;MASTER LMD;Le Mans;Nantes;Droit, économie et gestion;Gestion;75;;;;30 mois après le diplôme;4;3;9;2;66;4;30;4;;;75;-1071607685;0
2012;MASTER LMD;Le Mans;Nantes;Droit, économie et gestion;Gestion;75;;;;18 mois après le diplôme;4;3;9;2;66;4;18;4;;;75;-1071607685;0
2012;MASTER LMD;Le Mans;Nantes;Sciences humaines et sociales;Ensemble sciences humaines et sociales;82;70;;;18 mois après le diplôme;32;23;7;2;66;4;18;32;70;;82;-1071607685;0
2012;MASTER LMD;Le Mans;Nantes;Sciences, technologies et santé;Sciences de l'ingénieur;91;;;;30 mois après le diplôme;8;6;19;2;66;4;30;8;;;91;-1071607685;0
2012;MASTER LMD;Le Mans;Nantes;Sciences, technologies et santé;Informatique;100;;;;30 mois après le diplôme;5;4;12;2;66;4;30;5;;;100;-1071607685;0
2012;MASTER LMD;Le Mans;Nantes;Sciences, technologies et santé;Autres sciences, technologies et santé;82;;;;18 mois après le diplôme;18;13;3;2;66;4;18;18;;;82;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Droit, économie et gestion;Gestion;85;93;;29100;30 mois après le diplôme;216;50;9;2;112;4;30;216;93;29100;85;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Sciences humaines et sociales;Ensemble sciences humaines et sociales;92;86;;24700;30 mois après le diplôme;79;17;7;2;112;4;30;79;86;24700;92;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Sciences humaines et sociales;Histoire-géographie;87;;;;18 mois après le diplôme;11;2;10;2;112;4;18;11;;;87;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Sciences humaines et sociales;Psychologie;98;86;;;30 mois après le diplôme;49;10;17;2;112;4;30;49;86;;98;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Sciences, technologies et santé;Ensemble sciences, technologies et santé;95;92;;28100;18 mois après le diplôme;93;19;8;2;112;4;18;93;92;28100;95;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Sciences, technologies et santé;Sciences fondamentales;84;;;;30 mois après le diplôme;17;4;20;2;112;4;30;17;;;84;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Sciences, technologies et santé;Sciences fondamentales;84;;;;18 mois après le diplôme;17;4;20;2;112;4;18;17;;;84;-1071607685;0
2012;MASTER LMD;Savoie Mont Blanc;Grenoble;Sciences, technologies et santé;Sciences de l'ingénieur;100;;;;18 mois après le diplôme;2;0;19;2;112;4;18;2;;;100;-1071607685;0
2012;MASTER LMD;Paris - Dauphine;Paris;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;0;;;;30 mois après le diplôme;0;;6;2;87;4;30;0;;;0;-1071607685;0
2012;MASTER LMD;Paris - Dauphine;Paris;Droit, économie et gestion;Économie;0;;;;18 mois après le diplôme;0;;5;2;87;4;18;0;;;0;-1071607685;0
